Unnamed: 0,ShopName,ShopAddress,Postcode
43,YES DC SDN BHD,"G41, GROUND FLOOR, KUANTAN PARADE,JALAN HAJI ABDUL RAHMAN,25000, KUANTAN, PAHANG",25000.0
44,YES DC SDN BHD (S2),"A37, GROUND FLOOR, JALAN TUN ISMAIL 1, KUANTAN PERDANA, 25000 KUANTAN PAHANG",25000.0
45,TYFONG BROADBAND HOUSE SDN BHD (S4),"PT 633, (GROUND FLOOR), KOMPLEKS PERNIAGAAN HUMAIRAH, PUSAT BANDAR TANAH MERAH, KELANTAN",
46,MEGA TELECOMMUNICATIONS NETWORK MKTG S/B,"UNIT 5/G6, GROUND FLOOR, API API CENTRE, JLN CENTRE POINT, 88100 KOTA KINABALU, SABAH",88100.0
47,METRO MEGATECH SDN. BHD.,"LOT 2379, JALAN BOULEVARD COMMERCIAL CENTRE 98000 MIRI SARAWAK",98000.0
48,METRO MEGATECH SDN. BHD. (S2),"GROUND FLOOR, LOT 2593, CENTRAL PARK, ROCK ROAD, KUCHING, SARAWAK. 93200 KUCHING SARAWAK",93200.0
49,EASY LINE INTERNATIONAL SDN. BHD.,"SUBLOT 10 (LOT5318), DESA ILMU PHASE 25, JALAN DATUK MOHD MUSA, 94300 KOTA SAMARAHAN, SARAWAK.",94300.0
50,ARISTO CZM SDN BHD,"GF LOT19,LEBUH SIBC BANDAR SERI ISKANDAR, 32610, BANDAR SERI ISKANDAR, PERAK",32610.0
51,C N T TELECOMMUNICATION SDN BHD,"LOT NO F21, FIRST FLOOR, C/O TESCO MANJUNG, LOT 16051 MUKIM SETIAWAN, 32040 DAERAH MANJUNG, PERAK",16051.0
52,C N T TELECOMMUNICATION SDN BHD (S2),"NO.116,JLN BALDWIN 3,BALDWIN BUSINESS CENTER, 35000 TAPAH, PERAK.",35000.0
53,DTS MOBILITY SDN BHD,"131-G, PT 641 DENAI INTAN, BANDAR BARU, 36000 TELUK INTAN, PERAK",36000.0
54,HI TECH FUTURE TECHNOLOGY ENTERPRISE S/B,"LOT G-33, GROUND FLOOR, TAIPING SENTRAL MALL, JALAN ISTANA LARUT, 34000 TAIPING, PERAK",34000.0
55,HI TECH FUTURE TECHNOLOGY ENTERPRISE S/B (S2),"LOT 2-17, SECOND FLOOR, 1ST AVENUE, 182, JALAN MAGAZINE 10300 PULAU PINANG PULAU PINANG",10300.0
56,HYPER MOBILE SDN BHD,"G28, TESCO EXTRA SEBERANG PRAI, NO 2762, PERSIARAN SEMBILANG, 13700, SEBERANG JAYA, PULAU PINANG",13700.0
57,IDEKA MAJU SDN BHD,"LOT G-41, GROUND FLOOR, JITRA MALL, 06000 JITRA, KEDAH",6000.0
58,NEW MOBILE TECHNOLOGY SDN BHD,"29, GROUND FLOOR, PERSIARAN GREENTOWN 7, GREENTOWN BUSINESS CENTRE, 30450, IPOH, PERAK",30450.0
59,NEW MOBILE TECHNOLOGY SDN BHD (S2),"LOT F21, AEON MALL KINTA CITY SHOPPING CENTRE, JALAN TEH LEAN SWEE, 31400, IPOH, PERAK",31400.0
60,NEW MOBILE TECHNOLOGY SDN. BHD. (S3),"ARAS 1, LOT NO 5, TAMAN PERTIWI INDAH, SERIAB 1000 KANGAR PERLIS",
61,SIXTY EIGHT DISTRIBUTION SDN BHD,"G41, G FLOOR 2323 TESCO BKT MERTAJAM, JALAN ROZHAN, 14000 BUKIT MERTAJAM, PULAU PINANG",14000.0
62,SMART2U WORLD SDN BHD,"MYDIN MALL BUKIT MERTAJAM, LOT S-03, MUKIM 06, JALAN BARU, DAERAH SEBERANG PERAI TENGAH, 14000, PULAU PINANG",14000.0
63,SMART2U WORLD SDN BHD (S2),"LOT 1F-37, 1ST FLOOR KULIM CENTRAL SHOPPING CENTRE,NO 1 JALAN KLC SATU 9000 KULIM KEDAH",
64,U INSTANT COMMUNICATION SDN BHD,"LOT G.09, GROUND FLOOR, RAPID MALL SERI INTAN 36000 TELUK INTAN PERAK",36000.0
65,U NETWORK MOBILE CENTRE SDN. BHD.,"LOT F-09, 1ST FLOOR, SUNSHINE FARLIM MALL, 294 JALAN THEAN TEIK 11500 AYER ITAM PULAU PINANG",11500.0
66,UMB NETWORK SDN. BHD.,"NO. 41, JALAN PANGGUNG WAYANG 35500 BIDOR PERAK",35500.0
67,USUN CENTRE SDN BHD,"LOT 4-03, AMAN CENTRAL, NO1, LEBUHRAYA DARUL AMAN,ALOR SETAR 5100 ALOR SETAR KEDAH",
68,USUN CENTRE SDN BHD (S2),"NO 425-D, GROUND FLOOR, JALAN BURMAH, 10350 PULAU TIKUS, PULAU PINANG",10350.0
69,USUN CENTRE SDN BHD (S3),"LOT NO 2A, GROUND FLOOR, AMAN JAYA MALL, 08000, SUNGAI PETANI, KEDAH",8000.0
70,VICOMM MOBILE SDN BHD,"7110, TAMAN AMAN JAYA, JALAN RAJA UDA, 12300 BUTTERWORTH, PULAU PINANG",12300.0
71,YEAN MOBILE NETWORK SDN BHD,"NO 15B, TAMAN SENTOSA, JALAN LUMUT, 32000, SETIAWAN, PERAK",32000.0
72,YEAN MOBILE NETWORK SDN BHD (S2),"17, JALAN SERI SENTOSA 1, 32400 AYER TAWAR PERAK",32400.0
73,YOUR MOBILE ENTERPRISE SDN BHD,"NO 11, JALAN DAENG SELILI, 33000 KUALA KANGSAR, PERAK",33000.0
74,101 BUSINESS SOLUTION SDN BHD,"LOT 21-B, 1ST FLOOR, SEREMBAN GATEWAY, OFF JALAN SUNGAI UJONG, 70200 SEREMBAN NEGERI SEMBILAN",70200.0
75,BROADBAND JUNCTION SDN BHD,"59, JALAN SUTERA TANJUNG 8/2, TAMAN SUTERA UTAMA ,81300 SKUDAI , JOHOR",81300.0
76,BROADBAND JUNCTION SDN BHD (S2),"NO 5, JALAN BUKIT INDAH 16/12, 79100 NUSAJAYA, JOHOR",79100.0
77,BROADBAND JUNCTION SDN BHD (S3),"NO 19, JALAN DEDAP 4, 81100 JOHOR BHARU, JOHOR",81100.0
78,BROADBAND JUNCTION SDN BHD (S4),"S 39, AEON BANDAR MELAKA, NO. 2, JALAN LAGENDA, TAMAN LAGENDA, 75400 MELAKA",75400.0
79,BROADBAND JUNCTION SDN BHD (S5),"GROUND FLOOR OF NO.83, JALAN TUN ISMAIL, 25000 KUANTAN, PAHANG",25000.0
80,CL PD TELECOMMUNICATION SDN BHD,"NO. 9-G, PD WATERFRONT, JALAN WATERFRONT 2, 71000 PORT DICKSON, NEGERI SEMBILAN.",71000.0
81,CM COM SDN BHD,"14 (GROUND FLOOR), JALAN KONG SANG, 70000 SEREMEBAN, NEGERI SEREMBAN.",70000.0
82,EXCEL ADVANTECH SDN BHD,"NO. 65, JALAN AUSTIN HEIGHTS 3, TAMAN MOUNT AUSTIN, 81100 JOHOR BAHRU, JOHOR",81100.0
83,EXCEL ADVANTECH SDN BHD (S2),"NO 19, JALAN PERMAS 10, 81750, MASAI, JOHOR",81750.0
84,EXCEL ADVANTECH SDN BHD (S3),"NO 75, JALAN SUTERA, TAMAN SENTOSA, 80150, JOHOR BHARU, JOHOR",80150.0
85,FIRST MOBILE WORLD SDN BHD,"NO 57-2,JALAN RAMBUTAN, 86000 KLUANG, JOHOR.",86000.0
86,FIRST MOBILE WORLD SDN BHD (S2),"NO 25B, JALAN DATO TAN SENG LEONG, 86000 KLUANG, JOHOR",86000.0
87,FIRST MOMENT COMMUNICATION SDN BHD,"36 JALAN KUNDANG, TAMAN BUKIT PASIR, 83000 BATU PAHAT, JOHOR",83000.0
88,FIRST MOMENT COMMUNICATION SDN BHD (S2),"G08, GROUND FLOOR, BATU PAHAT MALL, 83000 BATU PAHAT, JOHOR.",83000.0
89,HP NINETY SIX (M) SDN BHD,"NO 29-G, JALAN BPS 3,BANDAR PRIMA SENAWANG, 70450 SEREMBAN, NEGERI SEMBILAN",70450.0
90,I LOVE BROADBAND SERVICE CENTRE S/B (S2),"BLOCK 06, UNIT G-36, DANGA BAY, 80200, JOHOR BHARU, JOHOR",80200.0
91,I LOVE BROADBAND SERVICE CENTRE SDN BHD,"10, JALAN MOLEK 1/12, TAMAN MOLEK, 81100 JOHOR BAHRU, JOHOR",81100.0
92,I LOVE U MOBILE SDN BHD,"9,JALAN SUSUR DEWATA 1, TAMAN LARKIN PERDANA,80350,JOHOR BAHRU JOHOR",80350.0
93,I LOVE U MOBILE SDN BHD (S2),"NO 23, JALAN NIAGA, 81900 KOTA TINGGI, JOHOR",81900.0
94,IP LINK SOLUTION SDN BHD,"LOT NO R147, GIANT HYPERMARKET PLENTONG, 81750 MASAI, JOHOR",81750.0
95,K & C MOBILE STORE SDN BHD,"102, JALAN BUKIT KEMPAS 1/18, TAMAN BUKIT KEMPAS, 81300 JOHOR BHARU, JOHOR",81300.0
96,MLAB COMMUNICATION SDN BHD,"97-2, JALAN RAHMAT, 83000 BATU PAHAT JOHOR",83000.0
97,MLAB COMMUNICATION SDN BHD (S2),"LOT G5, LEVEL 1, SQUARE ONE MALL, 83000 BATU PAHAT, JOHOR",83000.0
98,NMR MOBILE SDN BHD,"10-G, BLOCK A, JALAN PDS1, 71050 SI RUSA, NEGERI SEMBILAN",71050.0
99,ONE STAND FOUR NETWORK SDN BHD,"L3-654, SUTERA MALL, NO 1, JALAN SUTERA TANJUNG 8/4, TAMAN SUTERA UTAMA, 81300 SEKUDAI, JOHOR",81300.0
